id,name,revenue_type_id,invoice_id,start_date,end_date,price,quantity,amount
3,Rent (01 Jan 2020 - 30 Nov 2020),1,4,1/01/2020,30/11/2020,51836350,11,570199850
4,Rent (01 Dec 2019 - 30 Nov 2020),1,5,1/12/2019,30/11/2020,30690000,12,368280000
5,Rent (01 Apr 2020 - 30 Nov 2020),1,6,1/04/2020,30/11/2020,20508400,8,164067200
6,Rent (01 Jan 2020 - 30 Nov 2020),1,7,1/01/2020,30/11/2020,15856500,11,174421500
7,Rent (21 Oct 2020 - 30 Nov 2020),1,8,21/10/2020,30/11/2020,32717620,1.333,43612587.46
8,Rent (01 Apr 2016 - 30 Nov 2020),1,9,1/04/2016,30/11/2020,33741500,56,1889524000
9,Rent (01 Jan 2019 - 30 Nov 2020),1,10,1/01/2019,30/11/2020,8702980,23,200168540
10,Rent (21 Oct 2020 - 30 Nov 2020),1,11,21/10/2020,30/11/2020,14520480,1.333,19355799.84
11,Rent (16 Oct 2020 - 30 Nov 2020),1,12,16/10/2020,30/11/2020,40955200,1.5,61432800
12,Rent (01 Nov 2020 - 30 Nov 2020),1,13,1/11/2020,30/11/2020,78300000,1,78300000
13,Rent (05 Aug 2019 - 30 Nov 2020),1,14,5/08/2019,30/11/2020,36650250,15.839,580503309.8
14,Rent (16 Oct 2019 - 30 Nov 2020),1,15,16/10/2019,30/11/2020,42816800,13.5,578026800
15,Rent (16 Sep 2020 - 30 Nov 2020),1,16,16/09/2020,30/11/2020,32578000,2.484,80923752
16,Rent (22 Jan 2020 - 30 Nov 2020),1,17,22/01/2020,30/11/2020,40606150,10.29,417837283.5
17,Rent (16 Sep 2019 - 30 Nov 2020),1,18,16/09/2019,30/11/2020,80048800,14.484,1159426819
18,Rent (04 May 2019 - 30 Nov 2020),1,19,4/05/2019,30/11/2020,37464700,18.9,708082830
19,Rent (15 Jun 2020 - 30 Nov 2020),1,20,15/06/2020,30/11/2020,40955200,5.516,225908883.2
20,Rent (01 Nov 2016 - 30 Nov 2020),1,21,1/11/2016,30/11/2020,108000000,49,5292000000
22,"Rent ""RANGMI"" period 16 Dec 2012 - 31 Oct 2020",1,23,16/12/2012,31/10/2020,20909091,1,1976243645
